"","fips","beds_licensed","beds_staffed","beds_ICU","beds_ICU_adult","beds_ICU_pediatric"
"1694",39133,302,191,16,16,0
"1695",39139,409,279,41,41,0
"1696",39141,261,189,12,12,0
"1697",39143,245,152,18,18,0
"1698",39145,446,202,18,18,0
"1699",39147,144,69,5,5,0
"1700",39149,90,61,7,7,0
"1701",39151,1675,1006,129,129,0
"1702",39153,2527,2096,231,231,40
"1703",39155,752,517,43,43,0
"1704",39157,174,153,14,14,0
"1705",39159,97,60,7,7,0
"1706",39161,195,145,5,5,0
"1707",39165,372,265,22,22,0
"1708",39167,243,213,15,15,0
"1709",39169,184,129,18,18,0
"1710",39171,123,100,11,11,0
"1711",39173,149,149,18,18,0
"1712",39175,31,24,4,4,0
"1713",40001,67,30,5,5,0
"1714",40005,25,25,4,4,0
"1715",40007,24,24,4,4,0
"1716",40009,62,34,6,6,0
"1717",40011,42,42,7,7,0
"1718",40013,148,140,8,8,0
"1719",40015,42,42,7,7,0
"1720",40017,75,74,8,8,0
"1721",40019,212,162,17,17,0
"1722",40021,150,122,23,23,0
"1723",40023,34,34,6,6,0
"1724",40025,25,25,4,4,0
"1725",40027,658,533,70,70,0
"1726",40029,20,20,3,3,0
"1727",40031,550,365,35,35,0
"1728",40035,255,235,6,6,0
"1729",40037,95,95,18,18,0
"1730",40039,80,70,8,8,0
"1731",40041,58,58,6,6,0
"1732",40043,18,18,3,3,0
"1733",40045,23,25,4,4,0
"1734",40047,436,349,34,34,0
"1735",40049,26,26,5,5,0
"1736",40051,75,49,9,9,0
"1737",40055,18,18,3,3,0
"1738",40057,25,22,4,4,0
"1739",40059,25,15,3,3,0
"1740",40063,25,25,4,4,0
"1741",40065,49,49,6,6,0
"1742",40067,18,25,4,4,0
"1743",40069,25,25,4,4,0
"1744",40071,189,82,16,16,0
"1745",40073,25,25,4,4,0
"1746",40075,38,38,7,7,0
"1747",40077,43,43,8,8,0
"1748",40079,43,25,4,4,0
"1749",40081,50,50,8,8,0
"1750",40083,25,25,4,4,0
"1751",40085,25,25,4,4,0
"1752",40087,39,39,7,7,0
"1753",40089,25,77,6,6,0
"1754",40093,25,25,4,4,0
"1755",40095,25,21,4,4,0
"1756",40097,48,24,4,4,0
"1757",40099,25,25,4,4,0
"1758",40101,384,328,34,34,0
"1759",40103,26,26,5,5,0
"1760",40105,25,25,4,4,0
"1761",40107,24,25,4,4,0
"1762",40109,4701,3683,482,482,186
"1763",40111,115,107,15,15,0
"1764",40113,40,40,7,7,0
"1765",40115,70,144,9,9,0
"1766",40117,14,14,2,2,0
"1767",40119,216,161,11,11,0
"1768",40121,164,132,15,15,0
"1769",40123,276,240,25,25,0
"1770",40125,130,111,19,19,0
"1771",40127,23,42,7,7,0
"1772",40129,15,15,3,3,0
"1773",40131,127,100,14,14,0
"1774",40133,32,32,6,6,0
"1775",40135,41,41,7,7,0
"1776",40137,110,86,9,9,0
