"","FIPS","vehicles","pubtrans","teleworkable"
"90","02220",4.19261923794298,0.00360600408562039,0.400192022344418
"91","02230",2.47876604234285,0.0114998660036328,0.457709812811022
"92","02240",2.47876604234285,0.0114998660036328,0.457709812811022
"93","02261",2.47876604234285,0.0114998660036328,0.457709812811022
"94","02275",4.19261923794298,0.00360600408562039,0.400192022344418
"95","02282",4.19261923794298,0.00360600408562039,0.400192022344418
"96","02290",4.19261923794298,0.00360600408562039,0.400192022344418
"97","04001",2.63693228175143,0.00339118513872778,0.387245866845398
"98","04003",2.32782426536116,0.00231473444209113,0.430495089602106
"99","04005",2.24997507726049,0.00757651281028811,0.440554306946907
"100","04007",2.48960242211776,0.000637399410405545,0.368150368150368
"101","04009",2.48960242211776,0.000637399410405545,0.368150368150368
"102","04011",2.48960242211776,0.000637399410405545,0.368150368150368
